IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Shares Offered,Deal Size,Open Price,Return (Open),Exchange,Sector,Industry,Country,Employees,Founded,Volume,Rating,Div. ($),Div. Yield,Div. Growth,Revenue,Rev. Growth,Rev. Growth (Q),Gross Profit,GP Growth,Net Income,NetInc Growth,EBITDA,Investing CF,Financing CF,Profit Margin,Tax / Revenue,Equity,Working Capital
2020-12-11,CERT,"Certara, Inc.",23.00,16.30,-29.13%,2605636500,29055000,668265000,29.90,-45.48%,NASDAQ,Healthcare,Health Information Services,United States,1391,2008,343563,Hold,,,,354337000,5.57%,1.59%,213315000,5.05%,-55357000,,23844000,-79550000,-9447000,-15.62%,0.06%,1046840000,210178000
2020-12-11,FDMT,"4D Molecular Therapeutics, Inc.",23.00,23.53,2.30%,1203735975,8400000,193200000,40.00,-41.17%,NASDAQ,Healthcare,Biotechnology,United States,147,2013,440455,Strong Buy,,,,20723000,562.29%,,20723000,562.29%,-100837000,,-95088000,115717000,156832000,-486.59%,,307829000,277637000
2020-12-11,ABCL,AbCellera Biologics Inc.,20.00,3.63,-81.85%,1062798660,24150000,483000000,61.00,-94.05%,NASDAQ,Healthcare,Biotechnology,Canada,586,2012,1817009,Strong Buy,,,,38025000,-92.17%,-57.40%,38025000,-92.17%,-146398000,,-143135000,-221108000,10356000,-385.00%,-72.67%,1152318000,752972000
2020-12-11,NBTX,Nanobiotix S.A.,13.50,5.91,-56.22%,278427086,7300000,98550000,18.15,-67.44%,NASDAQ,Healthcare,Biotechnology,France,102,2003,385,Buy,,,,40230000,1267.85%,,38869816,1267.85%,-44111111,,-24974933,-374667,50210737,-109.65%,0.32%,-1978542,40221408
2020-12-11,EDTX,EdtechX Holdings Acquisition Corp. II,10.00,63.24,532.40%,199187660,10000000,100000000,,,NASDAQ,Financials,Shell Companies,United Kingdom,,,603894,,,,,,,,,,740545,-73.43%,808986,21177676,-20205244,,,-1169960,-1098612
2020-12-11,SNRH,Senior Connect Acquisition Corp. I,10.00,10.04,0.35%,116251152,36000000,360000000,,,NASDAQ,Financials,Shell Companies,United States,,2020,10161,,,,,,,,,,6349223,-56.65%,7349177,406468150,-404414281,,,-4551023,-3571974
2020-12-11,VVOS,"Vivos Therapeutics, Inc.",6.00,2.46,-59.00%,6718924,3525000,21150000,176.75,-98.61%,NASDAQ,Healthcare,Medical Devices,United States,114,,52311,,,,,13801000,-13.87%,-17.77%,8271000,-17.45%,-13583000,,-12962000,-853000,10923000,-98.42%,,411000,-4828000
2020-12-11,CBAH,"CBRE Acquisition Holdings, Inc.",10.00,10.75,7.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-11,TVAC,Thayer Ventures Acquisition Corporation,10.00,9.55,-4.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-11,GHVI,"Gores Holdings VI, Inc.",10.00,14.47,44.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-11,GLAQ,Globis Acquisition Corp.,10.00,9.47,-5.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-11,DWIN,Delwinds Insurance Acquisition Corp.,10.00,4.25,-57.50%,,,,,,,,,United States,1,2020,,,,,,,,,,,,,,,,,,,
2020-12-11,MOTV,Motive Capital Corp,10.00,10.11,1.10%,,,,,,,Financial Services,Shell Companies,United States,,2020,,,,,,,,,,,,,,,,,,,
2020-12-11,ROCC,Roth CC Acquisition Corp. II,10.00,9.49,-5.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
